# G:\vitek_sdgmm_preprint\PA14_TLCA_2 DAYS_2016-06-09.txt generated by flexImaging 4.1.116.257 on 2019-08-01 10:50:31
# X-pos Y-pos spot-name region
-12776 11916 R00X038Y017 PA14
-12276 11916 R00X039Y017 PA14
-11776 11916 R00X040Y017 PA14
-11276 11916 R00X041Y017 PA14
-10776 11916 R00X042Y017 PA14
-10276 11916 R00X043Y017 PA14
-9776 11916 R00X044Y017 PA14
-9276 11916 R00X045Y017 PA14
-8776 11916 R00X046Y017 PA14
-8276 11916 R00X047Y017 PA14
-7776 11916 R00X048Y017 PA14
-7276 11916 R00X049Y017 PA14
-6776 11916 R00X050Y017 PA14
-6276 11916 R00X051Y017 PA14
-5776 11916 R00X052Y017 PA14
-5276 11916 R00X053Y017 PA14
-4776 11916 R00X054Y017 PA14
-4276 11916 R00X055Y017 PA14
-3776 11916 R00X056Y017 PA14
-3276 11916 R00X057Y017 PA14
-2776 11916 R00X058Y017 PA14
-2276 11916 R00X059Y017 PA14
-1776 11916 R00X060Y017 PA14
-1276 11916 R00X061Y017 PA14
-776 11916 R00X062Y017 PA14
-23776 11416 R00X016Y018 PA14
-23276 11416 R00X017Y018 PA14
-22776 11416 R00X018Y018 PA14
-22276 11416 R00X019Y018 PA14
-21776 11416 R00X020Y018 PA14
-21276 11416 R00X021Y018 PA14
-20776 11416 R00X022Y018 PA14
-20276 11416 R00X023Y018 PA14
-19776 11416 R00X024Y018 PA14
-19276 11416 R00X025Y018 PA14
-18776 11416 R00X026Y018 PA14
-18276 11416 R00X027Y018 PA14
-17776 11416 R00X028Y018 PA14
-17276 11416 R00X029Y018 PA14
-16776 11416 R00X030Y018 PA14
-16276 11416 R00X031Y018 PA14
-15776 11416 R00X032Y018 PA14
-15276 11416 R00X033Y018 PA14
-14776 11416 R00X034Y018 PA14
-14276 11416 R00X035Y018 PA14
-13776 11416 R00X036Y018 PA14
-13276 11416 R00X037Y018 PA14
-12776 11416 R00X038Y018 PA14
-12276 11416 R00X039Y018 PA14
-11776 11416 R00X040Y018 PA14
-11276 11416 R00X041Y018 PA14
-10776 11416 R00X042Y018 PA14
-10276 11416 R00X043Y018 PA14
-9776 11416 R00X044Y018 PA14
-9276 11416 R00X045Y018 PA14
-8776 11416 R00X046Y018 PA14
-8276 11416 R00X047Y018 PA14
-7776 11416 R00X048Y018 PA14
-7276 11416 R00X049Y018 PA14
-6776 11416 R00X050Y018 PA14
-6276 11416 R00X051Y018 PA14
-5776 11416 R00X052Y018 PA14
-5276 11416 R00X053Y018 PA14
-4776 11416 R00X054Y018 PA14
-4276 11416 R00X055Y018 PA14
-3776 11416 R00X056Y018 PA14
-3276 11416 R00X057Y018 PA14
-2776 11416 R00X058Y018 PA14
-2276 11416 R00X059Y018 PA14
-1776 11416 R00X060Y018 PA14
-1276 11416 R00X061Y018 PA14
-776 11416 R00X062Y018 PA14
-23776 10916 R00X016Y019 PA14
-23276 10916 R00X017Y019 PA14
-22776 10916 R00X018Y019 PA14
-22276 10916 R00X019Y019 PA14
-21776 10916 R00X020Y019 PA14
-21276 10916 R00X021Y019 PA14
-20776 10916 R00X022Y019 PA14
-20276 10916 R00X023Y019 PA14
-19776 10916 R00X024Y019 PA14
-19276 10916 R00X025Y019 PA14
-18776 10916 R00X026Y019 PA14
-18276 10916 R00X027Y019 PA14
-17776 10916 R00X028Y019 PA14
-17276 10916 R00X029Y019 PA14
-16776 10916 R00X030Y019 PA14
-16276 10916 R00X031Y019 PA14
-15776 10916 R00X032Y019 PA14
-15276 10916 R00X033Y019 PA14
-14776 10916 R00X034Y019 PA14
-14276 10916 R00X035Y019 PA14
-13776 10916 R00X036Y019 PA14
-13276 10916 R00X037Y019 PA14
-12776 10916 R00X038Y019 PA14
-12276 10916 R00X039Y019 PA14
-11776 10916 R00X040Y019 PA14
-11276 10916 R00X041Y019 PA14
-10776 10916 R00X042Y019 PA14
-10276 10916 R00X043Y019 PA14
-9776 10916 R00X044Y019 PA14
-9276 10916 R00X045Y019 PA14
-8776 10916 R00X046Y019 PA14
-8276 10916 R00X047Y019 PA14
-7776 10916 R00X048Y019 PA14
-7276 10916 R00X049Y019 PA14
-6776 10916 R00X050Y019 PA14
-6276 10916 R00X051Y019 PA14
-5776 10916 R00X052Y019 PA14
-5276 10916 R00X053Y019 PA14
-4776 10916 R00X054Y019 PA14
-4276 10916 R00X055Y019 PA14
-3776 10916 R00X056Y019 PA14
-3276 10916 R00X057Y019 PA14
-2776 10916 R00X058Y019 PA14
-2276 10916 R00X059Y019 PA14
-1776 10916 R00X060Y019 PA14
-1276 10916 R00X061Y019 PA14
-776 10916 R00X062Y019 PA14
-23776 10416 R00X016Y020 PA14
-23276 10416 R00X017Y020 PA14
-22776 10416 R00X018Y020 PA14
-22276 10416 R00X019Y020 PA14
-21776 10416 R00X020Y020 PA14
-21276 10416 R00X021Y020 PA14
-20776 10416 R00X022Y020 PA14
-20276 10416 R00X023Y020 PA14
-19776 10416 R00X024Y020 PA14
-19276 10416 R00X025Y020 PA14
-18776 10416 R00X026Y020 PA14
-18276 10416 R00X027Y020 PA14
-17776 10416 R00X028Y020 PA14
-17276 10416 R00X029Y020 PA14
-16776 10416 R00X030Y020 PA14
-16276 10416 R00X031Y020 PA14
-15776 10416 R00X032Y020 PA14
-15276 10416 R00X033Y020 PA14
-14776 10416 R00X034Y020 PA14
-14276 10416 R00X035Y020 PA14
-13776 10416 R00X036Y020 PA14
-13276 10416 R00X037Y020 PA14
-12776 10416 R00X038Y020 PA14
-12276 10416 R00X039Y020 PA14
-11776 10416 R00X040Y020 PA14
-11276 10416 R00X041Y020 PA14
-10776 10416 R00X042Y020 PA14
-10276 10416 R00X043Y020 PA14
-9776 10416 R00X044Y020 PA14
-9276 10416 R00X045Y020 PA14
-8776 10416 R00X046Y020 PA14
-8276 10416 R00X047Y020 PA14
-7776 10416 R00X048Y020 PA14
-7276 10416 R00X049Y020 PA14
-6776 10416 R00X050Y020 PA14
