# E:\vitek_sdgmm_preprint\pseudomonas\imzml\PA14_TLCA_201-05-08.txt generated by flexImaging 4.1.116.257 on 2019-10-04 11:04:19
# X-pos Y-pos spot-name region
-9702 14753 R00X088Y039 DMSO
-9202 14753 R00X089Y039 DMSO
-8702 14753 R00X090Y039 DMSO
-8202 14753 R00X091Y039 DMSO
-7702 14753 R00X092Y039 DMSO
-18202 14253 R00X071Y040 DMSO
-17702 14253 R00X072Y040 DMSO
-17202 14253 R00X073Y040 DMSO
-16702 14253 R00X074Y040 DMSO
-16202 14253 R00X075Y040 DMSO
-15702 14253 R00X076Y040 DMSO
-15202 14253 R00X077Y040 DMSO
-14702 14253 R00X078Y040 DMSO
-14202 14253 R00X079Y040 DMSO
-13702 14253 R00X080Y040 DMSO
-13202 14253 R00X081Y040 DMSO
-12702 14253 R00X082Y040 DMSO
-12202 14253 R00X083Y040 DMSO
-11702 14253 R00X084Y040 DMSO
-11202 14253 R00X085Y040 DMSO
-10702 14253 R00X086Y040 DMSO
-10202 14253 R00X087Y040 DMSO
-9702 14253 R00X088Y040 DMSO
-9202 14253 R00X089Y040 DMSO
-8702 14253 R00X090Y040 DMSO
-8202 14253 R00X091Y040 DMSO
-7702 14253 R00X092Y040 DMSO
-20202 13753 R00X067Y041 DMSO
-19702 13753 R00X068Y041 DMSO
-19202 13753 R00X069Y041 DMSO
-18702 13753 R00X070Y041 DMSO
-18202 13753 R00X071Y041 DMSO
-17702 13753 R00X072Y041 DMSO
-17202 13753 R00X073Y041 DMSO
-16702 13753 R00X074Y041 DMSO
-16202 13753 R00X075Y041 DMSO
-15702 13753 R00X076Y041 DMSO
-15202 13753 R00X077Y041 DMSO
-14702 13753 R00X078Y041 DMSO
-14202 13753 R00X079Y041 DMSO
-13702 13753 R00X080Y041 DMSO
-13202 13753 R00X081Y041 DMSO
-12702 13753 R00X082Y041 DMSO
-12202 13753 R00X083Y041 DMSO
-11702 13753 R00X084Y041 DMSO
-11202 13753 R00X085Y041 DMSO
-10702 13753 R00X086Y041 DMSO
-10202 13753 R00X087Y041 DMSO
-9702 13753 R00X088Y041 DMSO
-9202 13753 R00X089Y041 DMSO
-8702 13753 R00X090Y041 DMSO
-8202 13753 R00X091Y041 DMSO
-7702 13753 R00X092Y041 DMSO
-20202 13253 R00X067Y042 DMSO
-19702 13253 R00X068Y042 DMSO
-19202 13253 R00X069Y042 DMSO
-18702 13253 R00X070Y042 DMSO
-18202 13253 R00X071Y042 DMSO
-17702 13253 R00X072Y042 DMSO
-17202 13253 R00X073Y042 DMSO
-16702 13253 R00X074Y042 DMSO
-16202 13253 R00X075Y042 DMSO
-15702 13253 R00X076Y042 DMSO
-15202 13253 R00X077Y042 DMSO
-14702 13253 R00X078Y042 DMSO
-14202 13253 R00X079Y042 DMSO
-13702 13253 R00X080Y042 DMSO
-13202 13253 R00X081Y042 DMSO
-12702 13253 R00X082Y042 DMSO
-12202 13253 R00X083Y042 DMSO
-11702 13253 R00X084Y042 DMSO
-11202 13253 R00X085Y042 DMSO
-10702 13253 R00X086Y042 DMSO
-10202 13253 R00X087Y042 DMSO
-9702 13253 R00X088Y042 DMSO
-9202 13253 R00X089Y042 DMSO
-8702 13253 R00X090Y042 DMSO
-8202 13253 R00X091Y042 DMSO
-7702 13253 R00X092Y042 DMSO
-7202 13253 R00X093Y042 DMSO
-20702 12753 R00X066Y043 DMSO
-20202 12753 R00X067Y043 DMSO
-19702 12753 R00X068Y043 DMSO
-19202 12753 R00X069Y043 DMSO
-18702 12753 R00X070Y043 DMSO
-18202 12753 R00X071Y043 DMSO
-17702 12753 R00X072Y043 DMSO
-17202 12753 R00X073Y043 DMSO
-16702 12753 R00X074Y043 DMSO
-16202 12753 R00X075Y043 DMSO
-15702 12753 R00X076Y043 DMSO
-15202 12753 R00X077Y043 DMSO
-14702 12753 R00X078Y043 DMSO
-14202 12753 R00X079Y043 DMSO
-13702 12753 R00X080Y043 DMSO
-13202 12753 R00X081Y043 DMSO
-12702 12753 R00X082Y043 DMSO
-12202 12753 R00X083Y043 DMSO
-11702 12753 R00X084Y043 DMSO
-11202 12753 R00X085Y043 DMSO
-10702 12753 R00X086Y043 DMSO
-10202 12753 R00X087Y043 DMSO
-9702 12753 R00X088Y043 DMSO
-9202 12753 R00X089Y043 DMSO
-8702 12753 R00X090Y043 DMSO
-8202 12753 R00X091Y043 DMSO
-7702 12753 R00X092Y043 DMSO
-7202 12753 R00X093Y043 DMSO
-20702 12253 R00X066Y044 DMSO
-20202 12253 R00X067Y044 DMSO
-19702 12253 R00X068Y044 DMSO
-19202 12253 R00X069Y044 DMSO
-18702 12253 R00X070Y044 DMSO
-18202 12253 R00X071Y044 DMSO
-17702 12253 R00X072Y044 DMSO
-17202 12253 R00X073Y044 DMSO
-16702 12253 R00X074Y044 DMSO
-16202 12253 R00X075Y044 DMSO
-15702 12253 R00X076Y044 DMSO
-15202 12253 R00X077Y044 DMSO
-14702 12253 R00X078Y044 DMSO
-14202 12253 R00X079Y044 DMSO
-13702 12253 R00X080Y044 DMSO
-13202 12253 R00X081Y044 DMSO
-12702 12253 R00X082Y044 DMSO
-12202 12253 R00X083Y044 DMSO
-11702 12253 R00X084Y044 DMSO
-11202 12253 R00X085Y044 DMSO
-10702 12253 R00X086Y044 DMSO
-10202 12253 R00X087Y044 DMSO
-9702 12253 R00X088Y044 DMSO
-9202 12253 R00X089Y044 DMSO
-8702 12253 R00X090Y044 DMSO
-8202 12253 R00X091Y044 DMSO
-7702 12253 R00X092Y044 DMSO
-7202 12253 R00X093Y044 DMSO
-21202 11753 R00X065Y045 DMSO
-20702 11753 R00X066Y045 DMSO
-20202 11753 R00X067Y045 DMSO
